ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
5417,30000,1,2,1,38,0,0,0,0,0,0,29723,30428,26558,27265,27953,28456,2000,2000,1500,1500,1500,1500,0
21811,140000,2,3,2,26,2,0,0,0,0,0,144010,142724,142802,140103,142750,142855,5301,5400,5100,5300,5500,5400,1
13639,240000,2,1,2,29,0,0,0,0,0,0,191059,197548,203823,216971,223048,228755,10000,10000,17000,10000,10000,8000,0
7527,330000,1,1,2,31,0,0,-1,-1,0,0,163406,137664,3381,40635,40490,38431,7558,5000,42054,3000,2000,1100,0
17946,50000,1,2,1,45,0,0,0,0,0,2,14488,15798,16867,17759,19354,17726,1558,1627,1519,2114,0,600,0
8970,280000,1,1,2,41,-2,-2,-2,-2,-2,-2,5819,14656,8971,5747,11927,40170,3683,9059,5787,11985,40370,8314,0
28442,300000,2,1,1,40,0,0,0,0,0,0,121603,125098,94769,112777,100323,87009,30000,25000,50007,10000,20000,30363,0
4985,270000,2,1,1,31,0,0,0,0,0,0,86716,88329,91247,91823,93164,95211,6000,6005,4000,4000,4000,5000,0
16578,490000,1,1,2,29,-1,-1,-1,-2,-1,0,264,678,-571,-1796,137158,139345,678,571,1225,140597,6000,3900,0
5066,200000,2,1,1,32,1,-2,-2,-2,-2,-1,0,0,0,0,0,900,0,0,0,0,900,880,0
25593,360000,2,2,1,47,0,0,0,0,0,0,93431,93784,93753,87660,78206,70147,3389,3357,2973,2819,2468,2503,0
29622,20000,1,3,1,43,0,0,0,2,0,-1,18100,17926,19485,19503,19566,1320,2000,3000,1200,1000,1400,0,0
21383,290000,1,2,1,53,-1,0,0,0,-1,-1,4975,3688,3164,2277,1497,1887,1027,1000,1000,1497,1887,2277,0
25956,150000,2,2,1,42,0,0,0,0,2,0,15878,10389,6067,4823,6208,4824,1300,1040,1378,1560,128,239,0
23888,80000,1,2,1,27,0,0,0,0,2,0,58777,60201,61633,69160,26000,25000,3000,3000,9160,0,0,0,0
8536,250000,1,2,1,29,1,-2,-2,-1,-1,-1,-24,-24,-24,746,7146,434,0,0,770,7200,688,0,0
23747,200000,2,3,2,49,-1,-1,-1,-1,-1,-1,1801,181,4095,5711,21420,6719,181,4126,5711,21520,6719,150,0
12790,300000,2,1,2,26,-1,0,0,0,0,0,48729,47798,57390,36766,38586,84950,7500,18340,1000,3000,57543,64629,0
4462,130000,1,1,2,46,0,0,0,0,0,0,110766,114977,120976,40177,41529,43734,6000,9000,2000,2000,3000,4000,1
8104,550000,2,5,2,52,-2,-2,-2,-2,-2,-2,277376,266532,256321,19753,464,8199,6001,6016,19753,464,8199,0,0
6491,50000,1,3,1,34,0,0,0,0,0,0,6808,6198,22456,19776,9433,7487,1318,19776,1096,572,645,0,0
7819,120000,1,3,1,38,-1,-1,-1,-1,0,-1,3465,5543,5463,10912,5228,9769,5558,5479,10929,24,9769,18,0
6142,260000,2,1,2,53,0,0,0,0,0,0,235073,235704,198181,143561,110982,72514,30000,10087,6030,5001,10002,148,0
9121,200000,1,2,2,32,-2,-2,-2,-2,-2,-2,1473,1473,390,390,540,390,1473,390,390,540,390,0,0
9913,200000,2,3,1,44,0,0,0,0,0,0,34760,37871,39879,42946,46141,46305,4000,3000,4000,4000,3000,3000,0
344,180000,1,1,1,39,0,0,-1,0,0,-1,274731,281713,242063,122295,-1005,1005,11000,145000,26000,0,101005,1898,0
293,30000,1,2,1,43,3,2,2,2,2,2,1700,2610,1914,2182,2000,2566,1100,0,300,0,600,0,0
24477,50000,1,1,2,34,-1,-1,-1,0,0,0,27465,24125,47444,43028,43719,0,24125,60003,5000,30000,34000,0,0
20286,160000,2,3,1,51,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
16998,130000,2,2,2,23,-2,-2,-2,-2,-2,-2,-169,3464,7569,8130,544,148,4739,22271,8526,544,148,72392,0
11891,130000,2,2,2,23,-2,-2,-2,-2,-2,-2,136,0,0,0,0,0,0,0,0,0,0,0,0
27267,310000,1,1,1,45,-2,-2,-2,-2,-2,-2,8964,1168,6495,-16,-16,-16,1174,6527,0,0,0,0,0
538,120000,1,2,1,44,0,0,0,0,0,0,92007,87939,82094,59105,53442,46775,5417,2847,2066,1919,2200,0,0
20355,50000,1,2,2,22,1,-1,-1,-1,-1,-2,0,1054,1448,2535,0,0,1054,1448,2535,0,0,0,0
14120,110000,1,3,2,49,0,0,0,0,0,0,113928,112775,110399,48532,44703,47869,4915,4379,12466,5000,5307,5000,0
15333,200000,2,1,2,30,0,0,0,0,0,0,78866,74961,69702,63210,57098,46455,20000,2513,1656,5000,20000,15000,0
12495,290000,2,1,3,29,0,0,0,0,0,0,221626,190440,118163,110728,106426,15300,6530,4200,4938,10000,2420,221000,1
21938,200000,2,1,2,27,-1,-1,-2,-1,-1,-2,1171,0,0,680,0,0,0,0,680,0,0,442,0
1634,80000,2,1,2,38,-2,-2,-2,-2,-2,-2,1927,446,909,1740,2190,518,446,909,1740,2190,518,5062,0
2685,60000,1,1,1,42,2,0,0,0,0,2,39986,41036,42449,43243,48537,47606,2000,2100,1800,6000,0,2000,1
1297,50000,1,2,2,29,1,2,2,2,0,0,37170,36297,39863,38924,39744,40533,0,4500,0,1600,1600,1600,0
1114,110000,1,1,2,33,0,0,0,0,0,0,12633,88334,53978,23687,26567,8435,80004,1500,12013,7000,2000,4000,0
10213,50000,1,3,1,41,2,2,2,0,0,0,31303,35716,30087,29610,40736,25690,5700,0,1000,12000,2000,900,0
17680,70000,2,1,2,34,0,0,0,0,0,0,36467,40505,43333,36959,27296,23474,5000,5000,1500,546,1000,1746,0
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0
1293,200000,2,2,1,34,1,-1,-1,-1,-1,-1,-2,758,998,668,9815,36870,760,1000,670,9852,40063,1049,0
28051,390000,2,1,2,29,0,0,0,0,0,0,89953,107947,60313,55769,65835,72177,25000,35127,20000,12000,7500,15000,0
22965,200000,2,1,2,33,0,0,0,0,0,0,19572,28858,52512,71923,19923,-77,10000,25000,20400,0,0,77,0
6274,210000,1,1,1,30,0,0,0,0,0,2,65600,63396,64150,66135,70118,67254,2300,3000,3000,5000,0,3000,0
14702,280000,1,2,1,37,0,0,0,0,0,-1,149227,152331,153080,156000,160000,40485,5505,3258,3120,4000,100045,10000,0
27487,30000,1,2,1,57,0,0,0,0,0,0,24911,26241,27512,27831,28795,29285,1750,2000,1240,1200,1100,0,1
15314,80000,2,3,1,39,0,0,0,0,0,0,18787,19869,20897,21911,22545,23181,1400,1352,1366,1000,1000,1000,0
29944,500000,1,2,2,38,0,0,0,0,-1,0,31504,27546,20189,12058,14692,8274,12160,6056,3063,14725,206,9363,0
6003,90000,2,2,2,30,0,0,0,0,2,2,75382,73980,75036,77094,75708,76610,3350,3300,5500,1600,3950,0,1
5671,340000,2,2,1,40,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
22796,260000,2,2,1,33,0,0,0,0,0,0,151123,134736,135593,120909,102524,40157,4002,6067,10000,3000,40157,1466,1
19384,90000,2,2,1,47,1,2,2,2,0,0,6681,6426,10289,10816,11333,11997,0,4000,1000,1000,1000,1000,0
21659,30000,2,2,2,27,0,0,0,0,2,2,8476,9677,10715,13218,12709,17463,1500,1500,3000,0,5000,0,0
7843,120000,2,1,2,25,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
21915,130000,2,1,2,23,0,0,0,0,0,0,102087,101079,93977,94427,89041,89833,4500,4363,3300,3178,3178,3424,0
333,60000,2,1,2,28,1,2,0,0,0,0,10540,10232,11237,11427,20973,31857,0,1483,673,10000,11540,7000,0
10455,140000,1,2,2,31,0,0,0,0,0,0,64300,62758,77133,71397,71546,83412,20009,32637,15027,10021,20055,10037,0
7031,70000,2,2,1,43,0,0,0,0,0,0,38173,38750,39493,39879,40314,40725,1957,1700,1408,1448,1456,1475,0
5514,80000,2,1,2,27,-1,-1,-1,-1,-2,-2,5060,0,3885,0,0,0,0,3885,0,0,0,860,0
25356,20000,2,2,2,22,0,0,0,0,0,0,19583,16810,17941,19327,19155,19422,1300,1409,1795,623,512,185,0
457,130000,1,3,2,39,1,2,2,2,2,2,71034,69329,74175,72383,77217,75820,0,6000,0,6000,0,6000,0
13445,320000,1,1,1,48,2,2,2,2,2,2,201932,215392,218370,220977,225021,221730,18300,8000,7700,7700,0,7900,1
29657,240000,1,2,2,43,0,0,0,0,0,0,236238,225318,202513,198720,192574,195682,8763,7539,8267,7012,8010,8499,0
7301,10000,2,1,2,26,0,-1,-1,0,0,0,9459,231,3364,6129,9009,9188,231,5000,3000,3000,329,340,0
24052,110000,1,3,1,27,0,0,0,0,0,-2,108435,109572,45907,5130,2889,78834,3509,1102,1014,2889,82718,3100,0
7398,360000,1,2,1,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
1760,50000,1,2,2,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
13162,280000,1,1,2,28,0,0,0,0,0,0,139719,136052,118076,101457,81124,42347,6000,4000,4000,4000,3000,1000,0
1604,260000,2,2,2,38,-2,-2,-2,-2,-2,-2,-2,-2,725,2074,0,585,0,727,2074,0,585,0,0
24350,20000,1,2,2,32,0,0,0,0,0,0,15121,15424,15468,11082,11303,10768,1700,1488,1172,393,415,616,0
23722,260000,2,3,1,59,0,0,0,0,0,0,258885,261183,262546,238614,195149,195771,10000,11000,13067,10003,8000,11488,0
3192,70000,2,2,2,23,1,2,0,0,2,2,17461,16892,18013,19315,19859,19390,0,1400,1600,1000,0,1000,1
9707,100000,2,3,1,46,2,2,2,2,2,0,42674,45983,46927,47759,46865,47930,4000,2000,1900,0,2000,4000,1
15488,60000,1,2,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,251,1
13916,420000,2,2,1,50,0,0,0,0,0,0,405779,412684,411394,277995,249697,258353,16000,15000,182781,99000,13000,35000,0
12583,60000,2,2,2,31,-1,-1,2,-1,-1,-1,326,1152,826,22662,38211,19671,1152,0,22662,38211,19671,12245,0
12362,100000,2,1,2,26,1,2,2,2,2,2,93295,95108,96662,94216,99732,101737,4200,4000,0,7400,3800,0,0
10100,240000,2,1,2,28,1,-1,-1,-1,-1,-1,0,1748,0,14944,968,10408,1748,0,14944,968,10408,0,1
16792,450000,1,1,1,42,-1,0,-1,-1,-1,-1,2549,20499,2499,2499,0,11071,20449,2499,2499,0,11071,780,0
18389,60000,2,4,2,23,0,0,0,0,0,0,60876,60606,58227,60538,45018,38086,2523,2155,45088,1722,1523,2000,0
8242,100000,1,3,2,26,2,0,0,0,0,0,107643,109895,93420,73119,73642,71579,4048,3105,2700,2510,2703,2700,1
11949,360000,1,1,1,30,0,0,0,-1,-1,-1,98048,69568,22030,498,3150,1074,4000,5000,498,3150,1074,2416,0
13819,340000,2,2,1,32,0,0,0,0,0,0,34228,96716,74983,43557,15559,0,75113,2047,766,77,0,394,0
2412,360000,1,1,2,35,-1,-1,-1,-1,-2,-1,2010,2936,640,0,0,4750,2936,640,0,0,4750,1470,0
25651,190000,2,1,1,43,-2,-2,-2,-2,-2,-2,1675,4873,3468,27395,0,148120,4873,3472,27403,0,148120,6546,0
27889,160000,2,2,2,26,1,2,2,2,-1,-1,5654,796,398,0,398,0,398,0,0,398,0,0,0
13970,210000,2,1,1,38,-1,-1,-1,-2,-2,-2,4868,13118,16114,3353,10775,2938,13174,16114,3353,10775,3000,16520,0
28886,250000,2,1,1,43,-2,-2,-2,-2,-2,-2,331,0,0,0,0,0,0,0,0,0,0,0,0
29514,30000,1,2,2,32,0,0,2,2,0,0,26742,29095,30819,29214,29478,23384,2800,2500,0,910,1000,1000,0
20689,440000,1,1,2,31,0,0,-1,-1,0,0,37547,29349,23713,25427,21187,26486,20016,29748,25448,10015,14501,11501,0
7921,140000,1,1,2,37,0,-1,0,0,0,0,3351,64555,63796,55234,52959,50617,64555,2898,1890,2000,2000,1900,1
70,20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0
13946,200000,2,1,1,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
24995,50000,1,2,2,43,0,0,0,0,0,0,46594,47585,48887,49097,17203,17562,1768,2070,1280,616,636,640,1
1979,20000,1,3,2,50,-1,-1,-1,-1,-1,0,2191,1140,12656,1693,303,12303,1140,12656,1700,500,12000,0,0
7553,120000,2,1,2,26,-1,-1,-1,-1,-1,-1,2897,481,721,444,710,1920,485,721,444,710,1920,0,0
19290,410000,2,1,1,42,-1,-1,-1,2,-1,-1,12327,2306,4054,3830,3160,49828,2324,4204,0,3160,49828,1647,0
26340,240000,2,2,1,27,0,0,0,0,0,0,133348,136296,139430,142608,145437,148492,5160,5328,5500,5199,5392,5417,1
3812,130000,1,2,2,28,2,2,0,0,0,0,70952,69264,70184,8518,11296,6514,0,3000,2000,3000,2000,0,1
26045,180000,2,2,2,33,-2,-2,-2,-2,-2,-2,11281,3405,22630,7777,3089,8429,3411,22657,7777,3089,8429,6706,0
11008,500000,1,1,2,32,0,0,0,0,0,0,208603,211340,166739,166464,168722,170299,8444,8009,5301,5220,5419,5313,0
12766,360000,2,2,1,27,0,0,0,-1,-1,-1,6449,3885,3113,1347,2179,5575,1108,1024,1353,2188,5602,776,1
18584,360000,2,3,1,27,0,0,0,0,0,0,115730,102973,96363,85616,79033,72152,4371,5438,3415,2430,2568,3017,0
12867,20000,2,2,2,25,0,0,0,0,0,0,20195,19638,17198,14253,18475,13878,1376,1121,460,6000,624,2000,0
27046,350000,1,3,2,41,-2,-2,-2,-2,-2,-2,-331,1656,1440,27000,872,12600,2155,1440,27000,872,12600,0,0
11729,120000,2,1,2,25,0,0,0,-1,0,-1,11431,6857,6865,8209,4825,4322,6000,3147,12000,4000,5000,1759,0
5194,500000,2,1,1,36,2,0,0,0,0,0,197231,175599,176947,178647,176380,172666,8500,8341,6600,6925,7225,6653,1
4014,20000,2,2,2,22,4,3,2,2,2,2,19529,18937,18335,19530,19076,20444,0,0,1500,0,1700,0,1
8323,210000,2,2,2,28,0,0,-1,0,0,-2,2162,61,259323,139861,1684,826,61,130000,10000,1684,826,1793,0
23410,200000,2,6,1,43,0,0,0,0,0,0,198595,194734,190447,187224,183641,178239,7003,7000,7000,6510,6550,6001,0
14879,30000,2,2,1,53,0,0,0,0,0,0,26891,28151,28827,29412,26199,27116,2000,1500,1000,1000,1351,1000,0
6922,280000,2,1,2,29,-1,-1,-1,-1,-1,-1,2187,1461,53603,976,20825,1159,1469,53871,981,20929,1164,0,0
3313,200000,2,1,1,36,0,-1,-1,0,0,0,10317,5755,8587,7782,6987,7662,5788,8587,5314,5000,5000,6000,0
11549,60000,2,1,2,30,0,0,0,0,0,0,24396,25463,27036,27074,25911,26431,1463,2036,937,1911,951,2056,0
25237,80000,2,3,1,25,-2,-2,-1,-1,-2,-2,3377,3377,3476,3377,3377,5062,3377,3476,3377,3377,5062,3387,0
12791,180000,1,2,1,44,-1,-1,-1,-1,-1,-1,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,0
14433,140000,1,2,1,41,0,0,0,0,0,0,82309,92682,103265,117188,113368,119194,12682,13265,17188,10000,15000,0,0
13359,150000,1,5,1,36,0,0,0,0,0,0,220889,133616,136378,139219,142172,145065,3800,3900,4000,4100,4100,5500,0
11374,50000,1,2,2,31,0,0,0,0,0,-2,47709,47838,49597,43885,0,0,3007,5230,1927,0,0,0,0
1907,360000,2,2,1,42,-1,-1,-1,-1,-1,-1,22237,5683,1632,1632,22379,8901,6695,1632,1632,22379,8901,4852,0
9187,100000,1,2,1,35,-1,-1,-1,-1,-1,-1,1131,291,291,291,291,502,291,291,291,291,502,80,0
24048,50000,1,2,2,25,0,0,0,0,0,0,49899,35200,29447,19980,10400,0,1679,2438,1700,1000,0,0,0
17701,170000,2,2,1,49,-1,0,0,0,0,0,12769,13557,20245,15429,16594,14035,3557,8245,5429,4500,5415,6000,0
6541,60000,1,1,2,31,2,2,2,2,2,2,61432,57751,59200,57558,52992,61325,0,4770,2250,0,50000,0,1
25580,120000,2,3,1,36,0,0,0,0,0,0,9826,10838,11876,12853,13109,13015,1181,1219,1196,452,460,463,1
1374,70000,1,1,2,28,0,0,0,0,0,0,67857,69711,64947,26022,28575,21460,3000,1500,13959,3000,1500,4000,0
26789,260000,1,1,2,29,0,0,0,0,0,0,256503,254732,244860,245165,236120,237705,9248,9021,8767,8317,8736,10025,1
28326,70000,2,2,2,30,-1,0,0,0,0,0,69494,112821,70305,71017,66218,66854,2716,2570,2720,2350,2500,2660,1
23067,320000,2,1,2,32,-1,0,-1,-1,-1,-1,13122,6796,7788,6751,8354,12271,1500,8000,7000,8500,13000,15000,0
19977,210000,2,1,2,32,1,-2,-1,-1,-1,-1,-974,-974,20363,770,0,6138,0,21337,770,0,6138,0,0
19478,110000,2,2,1,40,0,0,0,0,0,0,107035,110156,8871,66482,59578,57961,4000,2500,58000,2000,3000,3500,0
26236,160000,2,3,2,32,-1,-1,-1,-1,-1,-1,1375,3503,2688,2142,7139,1872,3645,2688,2142,7139,1872,10573,1
13523,160000,2,2,2,36,-2,-2,-1,-1,-1,-1,2992,1300,8899,6257,-1197,12151,1300,12038,10696,613,14262,0,0
11931,10000,2,5,2,21,0,0,0,0,0,-2,7691,8107,8036,8099,0,0,1192,1000,162,0,0,0,0
5042,310000,1,1,2,28,0,0,0,0,0,0,272588,169978,156699,131276,118837,119402,9978,6699,11276,9695,19402,6270,1
21658,160000,2,1,2,27,0,0,0,0,0,0,96441,98353,99864,101900,103924,106101,4406,4000,3699,3719,3851,3880,0
23713,100000,2,3,2,50,0,0,0,2,0,0,82397,84027,88734,86369,89994,89681,3004,7500,0,5001,3390,4000,0
4500,70000,2,2,2,23,0,0,0,0,0,0,39935,40973,41989,42823,43718,45203,1683,1699,1533,1585,2210,1875,0
544,100000,2,1,2,24,0,0,0,0,-1,-1,30092,30486,30178,29735,14718,29427,1553,5000,87,14761,29514,330,0
29391,150000,1,5,2,27,0,0,0,0,0,-2,133374,40283,49746,51500,0,0,10000,10000,2900,10000,0,0,0
24323,280000,1,3,1,44,0,0,0,0,0,0,295786,305529,311081,313242,151292,152318,15000,10472,11334,10010,6000,200000,0
7963,50000,1,2,1,34,0,0,0,0,0,0,45398,37433,30609,30432,30254,30088,2008,2000,1500,1501,2105,2219,0
6526,330000,2,2,1,30,0,0,0,0,0,-1,155285,156122,11733,9620,0,4520,10000,10000,2000,0,4520,2500,0
12631,80000,2,2,2,27,0,0,0,0,0,0,64561,47041,25439,26140,28833,28459,2176,1299,1000,3000,981,2000,0
12280,80000,2,2,1,27,-1,-1,-1,-1,-1,-1,1995,0,680,2862,5539,0,0,680,2862,5539,0,5775,0
22921,250000,2,2,2,27,0,0,0,-1,0,0,4883,3090,1404,5208,59006,12072,2500,1000,5208,54000,5000,10000,0
13983,240000,1,2,1,44,0,0,0,0,0,0,199446,200899,205084,194800,183962,188496,7500,10006,7000,7000,8000,7000,0
10031,310000,2,1,2,32,-2,-2,-2,-2,-2,-2,90654,20784,5649,9141,5122,380,27778,5649,9141,5122,380,2475,0
11009,70000,1,1,1,40,1,2,2,2,2,2,12026,13531,13017,14299,13927,15692,2000,0,1500,0,2000,0,0
23035,210000,2,2,1,40,-2,-2,-1,-1,-2,-2,2245,1789,4292,2388,4090,2375,1794,4326,2395,4102,2382,2614,0
11577,20000,1,2,1,31,-1,-1,-1,0,-1,-1,836,390,780,390,390,0,390,780,0,390,0,780,1
16685,20000,1,2,2,30,0,0,0,0,0,0,16320,28674,15491,16299,16428,0,1238,1392,1200,329,0,0,0
10316,160000,2,1,2,32,-1,-1,-1,-1,-1,-1,1179,4042,270,52,0,394,4042,270,0,0,394,646,1
9915,220000,2,5,1,37,2,2,2,0,0,0,189976,189665,171669,167294,172042,162565,15510,0,5500,7250,6500,3500,1
18970,180000,2,1,2,28,0,0,0,0,0,0,230740,30873,32033,51373,52553,53505,1500,1660,20000,2030,1951,3000,0
26826,360000,1,1,2,29,-2,-2,-2,-2,-2,-2,6906,4893,508,0,4861,2547,4893,508,0,4861,2547,0,0
11085,190000,1,1,2,31,0,0,0,0,0,0,182396,187565,188334,182889,81409,85059,8300,5302,6037,3500,5000,4000,0
3859,200000,1,2,1,36,1,-2,-1,-1,-1,-1,-1,-1,296,299,278,4575,0,297,303,279,4597,0,0
25937,260000,2,1,1,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,36150,0,0,0,0,36150,0,0
23656,360000,2,1,1,36,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
15422,220000,2,2,1,53,2,0,0,0,0,0,220389,223682,223193,215040,210884,210479,8490,8100,8000,7804,8254,6640,1
6835,50000,2,1,2,24,-2,-2,-2,-2,-2,-2,894,1020,0,0,0,0,1020,0,0,0,0,0,0
27799,70000,2,2,2,24,0,0,-2,-1,-1,0,36175,0,0,680,69257,68557,0,0,680,71867,9812,2900,0
552,190000,2,1,2,41,-1,-1,-1,-1,-1,-1,28204,0,16500,0,26854,554,0,16500,0,26854,500,0,1
5523,70000,2,2,2,22,0,0,2,0,0,0,31377,31420,30940,24765,25942,27073,6000,1125,1300,3000,2500,1200,0
9531,150000,2,1,1,37,-1,-1,-2,-1,-1,0,58337,0,0,14515,8758,6882,0,0,14515,8758,6880,8267,0
28507,270000,2,2,1,28,-2,-2,-2,-1,0,0,1459,-702,1900,7518,57765,59377,12,5011,8049,53008,5004,7000,0
16916,390000,1,1,1,64,0,0,0,0,0,0,38383,38134,38679,39689,40472,41320,1608,1647,1657,1440,1496,1518,0
16407,360000,2,2,2,37,-1,-1,-1,-1,-1,-1,1066,0,878,1142,926,1401,0,878,1142,926,1401,938,1
20573,30000,1,3,2,28,0,0,0,0,2,2,22634,23638,24689,28809,30052,29057,1385,1440,4560,2001,1,1228,1
16004,230000,2,2,1,37,0,0,0,0,0,0,126251,128542,122493,124743,127507,121400,4500,4600,4389,4697,4800,4000,0
2698,30000,2,3,2,26,0,0,0,0,0,0,28063,29304,28047,26840,28271,28134,1700,1407,1200,2000,2000,1000,0
9301,130000,2,1,2,28,-2,-2,-2,-2,-1,-1,9821,8582,0,0,1170,0,8611,0,0,1170,0,1070,1
6611,130000,2,3,2,27,0,0,0,0,0,0,29645,28193,30790,21200,21810,13629,2000,5000,5000,1000,4000,6587,0
25859,140000,2,2,1,37,-1,-1,-1,-1,-1,-1,326,326,326,1516,326,1439,326,326,1516,326,1439,326,1
10835,270000,1,2,1,52,0,-1,-1,-1,2,-1,18758,4937,2000,9078,5058,6177,4937,2000,9078,0,6177,4600,0
26463,300000,2,2,1,50,-2,-2,-2,-2,-2,-2,882,0,0,0,0,0,0,0,0,0,0,0,0
29125,20000,2,3,2,56,0,0,0,2,0,0,11471,12188,15074,14426,14526,15026,1214,3100,0,500,500,0,0
7381,320000,2,2,1,29,0,0,0,0,0,0,145907,150336,110569,106095,92573,89650,30236,5004,4086,5033,5020,3006,0
9408,160000,1,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
15452,500000,1,1,2,28,0,0,0,0,0,0,59646,49412,48060,51132,49348,40652,43018,3030,10022,3064,3022,2018,0
5343,80000,2,3,1,27,1,2,2,0,0,0,79108,78637,75688,46378,46175,41118,3200,0,1806,2124,1599,1500,0
1603,100000,2,3,2,53,0,0,0,0,0,0,101503,29880,31119,58653,59477,60695,1538,1777,29103,2283,2334,2290,0
6703,200000,2,2,2,30,6,5,4,3,2,0,71310,69676,67976,68468,67439,56163,0,0,2000,0,1925,1130,1
4266,500000,2,1,2,34,-1,0,0,0,0,0,218570,218978,218778,236377,225650,15233,18978,18778,36377,10650,15233,0,0
16337,60000,2,2,1,35,0,0,0,0,0,0,57267,57225,47343,29164,27829,27574,3023,2245,2005,2000,1088,3000,0
5232,50000,1,1,2,25,0,0,0,0,0,0,18595,18326,18814,19189,19233,19108,1310,1297,672,837,836,836,0
13690,110000,1,1,2,25,2,0,0,0,2,0,109887,99030,89317,80674,79311,81246,3500,6748,5700,0,3200,5700,1
18771,50000,2,3,1,26,-1,2,0,0,0,0,6064,5432,6090,6626,6513,6097,0,1136,1062,339,187,364,1
23229,350000,2,1,2,32,-2,-2,-2,-2,-2,-2,384,717,409,0,944,534,717,409,0,944,534,2281,0
19396,140000,2,1,2,32,0,-1,0,0,0,0,10281,32163,20421,19573,11611,0,32172,1476,2140,1000,0,0,0
17120,300000,2,3,2,27,0,0,0,0,0,0,105786,113850,116918,119929,122914,125910,9000,4000,4000,4000,4000,4000,0
12619,150000,2,2,2,38,-1,-1,-1,0,0,0,5219,0,5200,1561,1633,230,0,5200,0,72,460,4487,0
3356,380000,2,2,1,48,0,0,0,0,0,0,363191,373421,363343,290371,289600,288256,15504,14000,12500,12000,11000,14000,0
6296,340000,2,2,2,32,0,0,0,0,0,0,169246,100967,102819,105477,107454,110419,6000,4500,5000,4000,5000,4000,0
